id,college_name,college_city,college_state
1,"SV Degree College, Kadapa",kadapa,Andhra Pradesh
2,"SV PG College, Kadapa",kadapa,Andhra Pradesh
3,"Annamacharya College of Pharmacy, Rajampet",kadapa,Andhra Pradesh
4,"Indira Priyadarshini College of Nursing, Kadapa",kadapa,Andhra Pradesh
5,"Sri P Rami Reddy Memorial College, Cuddapah",kadapa,Andhra Pradesh
6,"Gouthami Institute of Technology and Management for Women (GITAMW), Kadapa",kadapa,Andhra Pradesh
7,KANDULA SREENIVASA REDDY MEMORIAL COLLEGE OF ENGINEERING,kadapa,Andhra Pradesh
8,Annamacharya Institute of Technology & Science,kadapa,Andhra Pradesh
9,"Sri Sai Institute of Technology and Science, kadapa",kadapa,Andhra Pradesh
10,"Rosamma Minority College of Education, Kadapa",kadapa,Andhra Pradesh
11,"Sri Malayala Swamy College of Education, Proddatur",kadapa,Andhra Pradesh
12,"Sarada College of Education, Kadapa",kadapa,Andhra Pradesh
13,"Sri Venkateswara College of Education, Kadapa",kadapa,Andhra Pradesh
14,"Sri Rajeswari College of Education, Kadapa",kadapa,Andhra Pradesh
15,"Penubala College of Education, Kadapa",kadapa,Andhra Pradesh
16,"Residency College of Education, Kadapa",kadapa,Andhra Pradesh
17,"Mahammod College of Education, Kadapa",kadapa,Andhra Pradesh
18,"Sri Narayanadri College of Education, Kadapa",kadapa,Andhra Pradesh
19,"Mother Theresa College of Education, Proddatur",kadapa,Andhra Pradesh
20,"Hannamma Christial College of Education, Proddatura",kadapa,Andhra Pradesh
21,"Bharath College of Education, Kadapa",kadapa,Andhra Pradesh
22,"SBVR College of Education, Kadapa",kadapa,Andhra Pradesh
23,"SSR College of Education for Women, Proddatur",kadapa,Andhra Pradesh
24,"Vidya Sadhana College of Education, Kadapa",kadapa,Andhra Pradesh
25,"VPR College of Education, Kamalapuram",kadapa,Andhra Pradesh
26,"Prasad College of Education, Kadapa",kadapa,Andhra Pradesh
27,"Panchasheela College of Education, Proddatur",kadapa,Andhra Pradesh
28,"Udaya Sandya College of Education, Proddatur",kadapa,Andhra Pradesh
29,"Akshaya Bharathi Institute of Technology, Kadapa",kadapa,Andhra Pradesh
30,"Srinivasa Institute of Technology And Sciences, Kadapa",kadapa,Andhra Pradesh
31,"College of Veterinary Science, Sri Venkateswara Veterinary University, Proddutur",kadapa,Andhra Pradesh
32,"Government Degree College, Rajampet",kadapa,Andhra Pradesh
33,"Narayanadri Institute of Science and Technology, Rajampet",kadapa,Andhra Pradesh
34,"Horticulture College & Research Institute, Anantharajupet",kadapa,Andhra Pradesh
35,"Sri Bijivemula Veera Reddy (SBVR) College of Education, Gopavaram",kadapa,Andhra Pradesh
36,"SKR & SKR Government College for Women, Kadapa",kadapa,Andhra Pradesh
37,"SCNR Government Degree College, Proddatur",kadapa,Andhra Pradesh
38,"Loyola Degree College (YSRR), Pulivendula",kadapa,Andhra Pradesh
39,"Government Degree College, Jammalamadugu",kadapa,Andhra Pradesh
40,"Annamacharya College of Education, Rajampet",kadapa,Andhra Pradesh
41,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",kadapa,Andhra Pradesh
42,"S.V. College of Higher Education, Kadapa",kadapa,Andhra Pradesh
43,"Nagarjuna Degree College for Women, Kadapa",kadapa,Andhra Pradesh
44,"Government Degree College, Porumamilla",kadapa,Andhra Pradesh
45,"JNTU College of Engineering, Pulivendula",kadapa,Andhra Pradesh
46,"Sri CSSR & SRRM Degree College, Kamalapuram",kadapa,Andhra Pradesh
47,"Government Degree College, Railway Kodur",kadapa,Andhra Pradesh
48,"Government Degree College, Rayachoti",kadapa,Andhra Pradesh
49,"SRNB Degree College, Badvel",kadapa,Andhra Pradesh
50,"Government Degree College for Men, Kadapa",kadapa,Andhra Pradesh
51,"YSR Engineering College of Yogi Vemana University, Proddatur",kadapa,Andhra Pradesh
52,"Crescent College of Nursing, Kadapa",kadapa,Andhra Pradesh
53,Dr. Helen College of Nursing CSI Campbell Hospital,kadapa,Andhra Pradesh
54,K.S.R.M College of Engineering,kadapa,Andhra Pradesh
55,Other,kadapa,Andhra Pradesh
56,"Audisankara Institute of Technology (ASIT), Gudur",Gudur,Andhra Pradesh
57,"Amara Institute of Engineering & Technology (AIET), Guntur",Gudur,Andhra Pradesh
58,"Audisankara College of Education, Gudur",Gudur,Andhra Pradesh
59,"SKR Government Degree College, Gudur",Gudur,Andhra Pradesh
60,"Sri Karunamayi Institute of Higher Learning, Gudur",Gudur,Andhra Pradesh
61,Other,Gudur,Andhra Pradesh
62,Hindu College,Guntur,Andhra Pradesh
63,"NRI Institute Of Technology, Guntur",Guntur,Andhra Pradesh
64,"Vishwa Bharathi College of Pharmaceutical Sciences, Guntur",Guntur,Andhra Pradesh
65,"RVR & JC College of Engineering, Chowdavaram",Guntur,Andhra Pradesh
66,"Hindu College of Pharmacy, Guntur",Guntur,Andhra Pradesh
67,"Malineni Lakshmaiah Womens Engineering College, Guntur",Guntur,Andhra Pradesh
68,"Malineni Perumallu Educational Societys Group of Institutions, Guntur",Guntur,Andhra Pradesh
69,"Nirmala College of Pharmacy NCPA, Atmakur",Guntur,Andhra Pradesh
70,"Government Polytechnic For Women, Guntur",Guntur,Andhra Pradesh
71,"NRI Medical College, Chinakakani",Guntur,Andhra Pradesh
72,"Sri Velagapudi Ramakrishna Memorial College, Guntur",Guntur,Andhra Pradesh
73,"Mahatma Gandhi College, Guntur",Guntur,Andhra Pradesh
74,"Mahatma Gandhi Degree College, Guntur",Guntur,Andhra Pradesh
75,"Bapatla College of Pharmacy, Guntur",Guntur,Andhra Pradesh
76,Guntur Medical College,Guntur,Andhra Pradesh
77,Sri Chundi Ranganayakulu Engineering College,Guntur,Andhra Pradesh
78,Narasaraopeta Engineering College,Guntur,Andhra Pradesh
79,"Shree Velagapudi Ramakrishna Memorial College, Nagaram",Guntur,Andhra Pradesh
80,"MBTS Govt Polytechnic, GUNTUR",Guntur,Andhra Pradesh
81,"Priyadarshini Institute of Pharmaceutical Education & Research (PIPER), Guntur",Guntur,Andhra Pradesh
82,"Vignans Nirula Institute of Technology and Science for Women, Guntur",Guntur,Andhra Pradesh
83,"Nalanda Institute Of Technology (NIT), Guntur",Guntur,Andhra Pradesh
84,"Nalanda Institute Of Engineering & Technology (NIET), Guntur",Guntur,Andhra Pradesh
85,"Sri Mittapalli College Of Engineering (SMCE), Guntur",Guntur,Andhra Pradesh
86,"Nirmala College of Pharmacy, Guntur",Guntur,Andhra Pradesh
87,Bapatla Engineering College,Guntur,Andhra Pradesh
88,"Koneru Lakshmaiah College of Engineering, Guntur",Guntur,Andhra Pradesh
89,"Seekar College of Special Education, Guntur",Guntur,Andhra Pradesh
90,"Hindu College, Guntur",Guntur,Andhra Pradesh
91,"JMJ College for Women, Tenali",Guntur,Andhra Pradesh
92,"SIMS College of Life Sciences, Guntur",Guntur,Andhra Pradesh
93,"GVRS Institute for Professional Studies, Guntur",Guntur,Andhra Pradesh
94,"SIMS College of Nursing, Guntur",Guntur,Andhra Pradesh
95,"SIMS College of Physiotherapy, Guntur",Guntur,Andhra Pradesh
96,"Priyadarshini Institute of Technology & Management (PIIT), Guntur",Guntur,Andhra Pradesh
97,"Tellakula Jalayya Polisetty Somasundaram College ,Guntur",Guntur,Andhra Pradesh
98,"Jagarlamudi Kuppuswamy Choudary (JKC) College, Guntur",Guntur,Andhra Pradesh
99,"Loyola Institute of Technology & Management (LITAM), Guntur",Guntur,Andhra Pradesh
100,"Vasireddy Venkatadri Institute of Technology (VVIT), Guntur",Guntur,Andhra Pradesh
101,"Hindu College for Post Graduation, Guntur",Guntur,Andhra Pradesh
102,"Nalanda Institute Of Management Studies (NIMS), Guntur",Guntur,Andhra Pradesh
103,"Christu Jayanthi Jubilee College, Guntur",Guntur,Andhra Pradesh
104,"Annabattuni Satyanarayana Degree College, Tenali",Guntur,Andhra Pradesh
105,"Pedanandipadu College of Arts and Sciences, Pedanandipadu",Guntur,Andhra Pradesh
106,"RVR & JC College of Engineering, Guntur",Guntur,Andhra Pradesh
107,"SNBTM Co Education College (PG), Repalle",Guntur,Andhra Pradesh
108,"Tellakula Jalaiah & Polisetty Syam Sundara College, Guntur",Guntur,Andhra Pradesh
109,"Vignan Degree & PG College, Guntur",Guntur,Andhra Pradesh
110,"Don Bosco PG College, Kornepadu",Guntur,Andhra Pradesh
111,"GVR and S College for Women, Guntur",Guntur,Andhra Pradesh
112,"GVR & S College of Engineering & Technology, Guntur",Guntur,Andhra Pradesh
113,"K Chandrakala PG College, Nelapadu",Guntur,Andhra Pradesh
114,"Bapatla Engineering College, Bapatla",Guntur,Andhra Pradesh
115,"Chundi Ranganayakulu College, Chilakaluripet",Guntur,Andhra Pradesh
116,"P N C K R College of PG Course, Guntur",Guntur,Andhra Pradesh
117,"Vision Institute of Science and Technology, Bapatla",Guntur,Andhra Pradesh
118,"SRI MITTAPALLI COLLEGE OF ENGINEERING, Guntur",Guntur,Andhra Pradesh
119,"Vignans Lara Institute of Technology and Science (VLITS), Guntur",Guntur,Andhra Pradesh
120,"Nalanda Institute of PG Studies (NIPS), Guntur",Guntur,Andhra Pradesh
121,"Chebrolu Engineering College, Guntur",Guntur,Andhra Pradesh
122,K.L. College Of Engineering,Guntur,Andhra Pradesh
123,"A M Reddy College Of Education, Narasarao",Guntur,Andhra Pradesh
124,"Kasturibai College of Education For Women, Bapatla",Guntur,Andhra Pradesh
125,"New Era College of Education, Guntur",Guntur,Andhra Pradesh
126,"Andhra Muslim College of Education, Guntur",Guntur,Andhra Pradesh
127,"H M K S And M G S Memorial College of Education, Guntur",Guntur,Andhra Pradesh
128,"Seven Hills College of Education, Vinukonda",Guntur,Andhra Pradesh
129,"SMS And SMCMR College of Education, Guntur",Guntur,Andhra Pradesh
130,"B R College of Education, Guntur",Guntur,Andhra Pradesh
131,"G V R And S College of Education, Guntur",Guntur,Andhra Pradesh
132,"Lakshmi Narsimha College of Education, Narasaraopet",Guntur,Andhra Pradesh
133,"Dr K S P R College of Education, Guntur",Guntur,Andhra Pradesh
134,"Ali College of Education, Vinukonda",Guntur,Andhra Pradesh
135,"Anitha Venkateswara College of Education, Tenali",Guntur,Andhra Pradesh
136,"A L College of Education, Guntur",Guntur,Andhra Pradesh
137,"Vishwa Bharathi College Of Technology And Management, Guntur",Guntur,Andhra Pradesh
138,"Universal College of Engineering And Technology, Medikondur",Guntur,Andhra Pradesh
139,"Buchepalli Venkayamma Subbareddy Engineering College, Chmakurthy",Guntur,Andhra Pradesh
140,"A M Reddy Memorial College of Engineering and Technology, Narasaraopet",Guntur,Andhra Pradesh
141,"Newtons Institute of Science & Technology, Guntur",Guntur,Andhra Pradesh
142,"Eswar College of Engineering, Narasaraopet",Guntur,Andhra Pradesh
143,"Narasaraopeta Institute of Technology, Narasaraopet",Guntur,Andhra Pradesh
144,"Sri Mittapalli Institute of Technology for Women (SMITW), Guntur",Guntur,Andhra Pradesh
145,"Tenali Engineering College (TEC), Tenali",Guntur,Andhra Pradesh
146,"SSN Degree College, Guntur",Guntur,Andhra Pradesh
147,"Priyadarshini Institute of Technology & Sciences For Women (PITW), Guntur",Guntur,Andhra Pradesh
148,"ASN Womens Engineering College, Guntur",Guntur,Andhra Pradesh
149,"Chalapathi Institute of Technology (CIT), Guntur",Guntur,Andhra Pradesh
150,"Chintalapudi Engineering College, Guntur",Guntur,Andhra Pradesh
151,"St Marys Womens Engineering College, Guntur",Guntur,Andhra Pradesh
152,"Narasaraopeta Institute of Pharmaceutical Sciences (NIPS), Guntur",Guntur,Andhra Pradesh
153,"Paladugu Nagaiah Chowdary & Vijai Institute of Engineering & Technology, Guntur",Guntur,Andhra Pradesh
154,"Krishnaveni Engineering College for Women (KECW), Guntur",Guntur,Andhra Pradesh
155,"Vinukonda B Ed College, Vinukonda",Guntur,Andhra Pradesh
156,"Bapatla College of Arts & Science, Bapatla",Guntur,Andhra Pradesh
157,"St Josephs College of Education for Women, Guntur",Guntur,Andhra Pradesh
158,"Sri ABR Government Degree College, Repalle",Guntur,Andhra Pradesh
159,"Srimathi Kasu Raghavamma Bramhananda Reddy College, Narasaraopet",Guntur,Andhra Pradesh
160,"Sri Kasu Brahmananda Reddy Degree College, Macherla",Guntur,Andhra Pradesh
161,"Government Degree College, Vinukonda",Guntur,Andhra Pradesh
162,"Rayapati Venkata Ranga Rao College of Education, Guntur",Guntur,Andhra Pradesh
163,"Pamulapati Butchi Naidu College, Nidubrolu",Guntur,Andhra Pradesh
164,"KVR KVR & MKR College, Pittalavani Palem",Guntur,Andhra Pradesh
165,"Andhra Christian College, Guntur",Guntur,Andhra Pradesh
166,"Vignan Pharmacy College, Vadlamudi",Guntur,Andhra Pradesh
167,"Guntur Engineering College (GEC), Guntur",Guntur,Andhra Pradesh
168,"KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY, Guntur",Guntur,Andhra Pradesh
169,"Narasaraopeta Engineering College, Narasaraopet",Guntur,Andhra Pradesh
170,"Government Institute of Textile Technology, Guntur",Guntur,Andhra Pradesh
171,"Government Polytechnic for Minorities, Guntur",Guntur,Andhra Pradesh
172,"Chundi Ranganayakulu Polytechnic, Guntur",Guntur,Andhra Pradesh
173,"Bapatla Polytechnic College, Guntur",Guntur,Andhra Pradesh
174,"VSR and NVR College, Tenali",Guntur,Andhra Pradesh
175,"VTJM and IVTR Degree College, Guntur",Guntur,Andhra Pradesh
176,"Sri GHR and MCMR Degree College, Guntur",Guntur,Andhra Pradesh
177,"S V R M College, Guntur",Guntur,Andhra Pradesh
178,"SNBT Degree College for women, Guntur",Guntur,Andhra Pradesh
179,"Krishnaveni Degree College, Narasaraopet",Guntur,Andhra Pradesh
180,"Andhra Pradesh Residential Degree College, Guntur",Guntur,Andhra Pradesh
181,"Priya Darisini Degree College, Tenali",Guntur,Andhra Pradesh
182,"Sri Majeti Guravaiah Degree College, Guntur",Guntur,Andhra Pradesh
183,"Bapatla Womens Engineering College, Bapatla",Guntur,Andhra Pradesh
184,"Christian Womens College, Nallapadu",Guntur,Andhra Pradesh
185,"Dr Jayapradamba Degree College, Guntur",Guntur,Andhra Pradesh
186,"GSR Degree College, Guntur",Guntur,Andhra Pradesh
187,"Jagarlamudi Chandramouli College of Law, Guntur",Guntur,Andhra Pradesh
188,"Nandamuri Basava Tarakam & Nallapti Venkateswarlu Chowdary College, Narasaraopet",Guntur,Andhra Pradesh
189,"Morning Star College, Phirangipuram",Guntur,Andhra Pradesh
190,"Vidya Kendram Degree & PG College, Sattenapalli",Guntur,Andhra Pradesh
191,"SIMS College, Mangaldas Nagar",Guntur,Andhra Pradesh
192,"SIMS College of Pharmacy, Guntur",Guntur,Andhra Pradesh
193,"SIMS College of Education, Guntur",Guntur,Andhra Pradesh
194,"Sri Gorla Hanuma Reddy & Metta Chinna Mall Reddy College, Guntur",Guntur,Andhra Pradesh
195,"NRT Krishnaveni Degree College, Vinukonda",Guntur,Andhra Pradesh
196,"Nagarjuna College of Education, Cherukupalli",Guntur,Andhra Pradesh
197,"AGKM College, Sattenapalli",Guntur,Andhra Pradesh
198,"Andhra Muslim College, Guntur",Guntur,Andhra Pradesh
199,"Anitha Venkateswara Rao College of Education, Tenali",Guntur,Andhra Pradesh
200,"EVM College of Engineering & Technology, Guntur",Guntur,Andhra Pradesh
201,"Vyshnavi College of Education, Gurazala",Guntur,Andhra Pradesh
202,"Vasavi Degree College for Women, Narasaraopet",Guntur,Andhra Pradesh
203,"Vellanki College of Education, Sattenapalli",Guntur,Andhra Pradesh
204,"Venigalla Jayasri Ram College, Kolluru",Guntur,Andhra Pradesh
205,"VTJM & IVTR Degree College, Mangalagiri",Guntur,Andhra Pradesh
206,"Vasavi Degree College, Narasaraopet",Guntur,Andhra Pradesh
207,"Thotakura Ramakotaiah College of Education, Nadendla",Guntur,Andhra Pradesh
208,"Vasireddy Sree Lakshmi & Meka Rama Krishna Degree College, Tenali",Guntur,Andhra Pradesh
209,"TRR & S Degree College, Piduguralla",Guntur,Andhra Pradesh
210,"St Antonys Degree College, Edlapadu",Guntur,Andhra Pradesh
211,"St Mark NTR College of Education, Narasaraopet",Guntur,Andhra Pradesh
212,"St Peter & Ghattamaneni Krishna College of Education, Burripalem",Guntur,Andhra Pradesh
213,"Sri Venkateswara College of Education, Kollipara",Guntur,Andhra Pradesh
214,"Sri Venkateswara Degree College, Kollipara",Guntur,Andhra Pradesh
215,"Sri Vivekananda College of Education, Vinukonda",Guntur,Andhra Pradesh
216,"St Anns Degree College for Women, Guntur",Guntur,Andhra Pradesh
217,"Sri Venkateswara & Sai Satyadeva Degree College, Tenali",Guntur,Andhra Pradesh
218,"Sri Venkateswara Bala Kuteer College of Education, Chowdavaram",Guntur,Andhra Pradesh
219,"Sri Sai Degree College, Vinukonda",Guntur,Andhra Pradesh
220,"Sri Sarada Niketanam Oriental College, Guntur",Guntur,Andhra Pradesh
221,"Sri Mahaveer Memorial Jain Degree College, Guntur",Guntur,Andhra Pradesh
222,"Sri JLN Sastry College for Women, Tenali",Guntur,Andhra Pradesh
223,"Smt Mettu Seshamma Sri Mettu Chinna Malla Reddy College Of Education, Guntur",Guntur,Andhra Pradesh
224,"Smt Sanagala Prameela Degree College, Nambur",Guntur,Andhra Pradesh
225,"Siddhartha College of Arts & Science, Guntur",Guntur,Andhra Pradesh
226,"Siddhartha Degree College, Guntur",Guntur,Andhra Pradesh
227,"Siddhartha Institute of Pharmaceutical Sciences, Narasaraopet",Guntur,Andhra Pradesh
228,"Sadhana Degree College, Peturu",Guntur,Andhra Pradesh
229,"Sadineni Chowdaraiah College of Arts & Sciences, Maddirala",Guntur,Andhra Pradesh
230,"Seven Hills B Ed College, Vinukonda",Guntur,Andhra Pradesh
231,"Sri Kasu Brahananda Reddy Degree College, Macherla",Guntur,Andhra Pradesh
232,"Smt Kasu Seshamma Vengala Reddy Womens Degree College, Chilakaluripet",Guntur,Andhra Pradesh
233,"Sri Mokhamatam PedaAnkalu Degree College, Cherukupalli",Guntur,Andhra Pradesh
234,"Smt Nandamuri Basava Tarakuri Memorial Degree College for Women, Repalle",Guntur,Andhra Pradesh
235,"Smt Nandamuri Basava Tarakam Memorial College of Education, Repalle",Guntur,Andhra Pradesh
236,"S B Swamy Sanskrit College, Ponnur",Guntur,Andhra Pradesh
237,"Sri Gogineni Kanakaiah Oriental Degree College, Tadikonda",Guntur,Andhra Pradesh
238,"Sri Gaddan Tirupathaiah And Johnalagadda Veerabhadraiah Degree College, Tulluru",Guntur,Andhra Pradesh
239,"Andhra Christian College (Day), Guntur",Guntur,Andhra Pradesh
240,"Repalle Christian College of Education, Repalle",Guntur,Andhra Pradesh
241,"Sree Ganga Bramaramata Malleswara Swamy Degee College, Pedakakani",Guntur,Andhra Pradesh
242,"Raju Vasireddy Venkatadri Naidu College, Amaravathi",Guntur,Andhra Pradesh
243,"Repalle Christian College, Repalle",Guntur,Andhra Pradesh
244,"Prabhala Lakshminarayana Memorial Degree College, Nagarjunanagar",Guntur,Andhra Pradesh
245,"Prathibha Degree College, Pedanandipadu",Guntur,Andhra Pradesh
246,"Palnadu College Of Education, Dachepally",Guntur,Andhra Pradesh
247,"Ponnuru Degree College, Ponnur",Guntur,Andhra Pradesh
248,"New Era College Of Education, Pedakakani",Guntur,Andhra Pradesh
249,"Paladugu Nagaiah Chowdary & Kotha Raghuramaiah College of Elementary Education, Narasaraopet",Guntur,Andhra Pradesh
250,"Pamulapati Butchi Naidu College, Ponnur",Guntur,Andhra Pradesh
251,"Nukala Rama Koteswara Rao & Kota Sree Ramulu Gupta Degree College, Tenali",Guntur,Andhra Pradesh
252,"Nandamuri Taraka Ramarao College, Sattenapalli",Guntur,Andhra Pradesh
253,"Modern Degree College, Chilakaluripet",Guntur,Andhra Pradesh
254,"MAM College, Narasaraopet",Guntur,Andhra Pradesh
255,"Mantena Venkatapati Raju Degree College, Karlapalem",Guntur,Andhra Pradesh
256,"Matrusri Oriental College, Jillellamudi",Guntur,Andhra Pradesh
257,"Medarametla Anjamma Mastan Rao College of Pharmacy, Narasaraopet",Guntur,Andhra Pradesh
258,"Mittapalli Lakshmaiah & Sons Degree College, Piduguralla",Guntur,Andhra Pradesh
259,"KSRNR Degree College, Amarthalur",Guntur,Andhra Pradesh
260,"Lakshmi Narasimha College Of Education, Narasaraopet",Guntur,Andhra Pradesh
261,"MRR Womens Degree College, Macherla",Guntur,Andhra Pradesh
262,"Maddala Venkata Giri Rao Degree College, Bhattiprolu",Guntur,Andhra Pradesh
263,"MVRS Viveka Degree College, Tenali",Guntur,Andhra Pradesh
264,"Kasturi Bai College of Education For Women, Bapatla",Guntur,Andhra Pradesh
265,"Konijeti Rosaiah Siva Lakshmi College, Bapatla",Guntur,Andhra Pradesh
266,"Krishnaveni Degree College, Vinukonda",Guntur,Andhra Pradesh
267,"KSR & KRK College of Education, Tenali",Guntur,Andhra Pradesh
268,"Kudaravalli Anjaiah Memorial & Sri Sai Degree College, Tenali",Guntur,Andhra Pradesh
269,"K C Reddy Institute of Pharmaceutical Sciences, Medikondur",Guntur,Andhra Pradesh
270,"KLN Sanskrit College, Tenali",Guntur,Andhra Pradesh
271,"Jupiter Degree College, Guntur",Guntur,Andhra Pradesh
272,"Haji Mohammed Khasim Saheb & Mohammed Galab Saheb Memorial, Kanagala",Guntur,Andhra Pradesh
273,"Hindu College of Education, Guntur",Guntur,Andhra Pradesh
274,"St Ignatius Degree College, Gurazala",Guntur,Andhra Pradesh
275,"Government Degree College, Chebrolu",Guntur,Andhra Pradesh
276,"GVR & S College, Guntur",Guntur,Andhra Pradesh
277,"Geethika College Of Education, Piduguralla",Guntur,Andhra Pradesh
278,"Government Degree College for Women, Guntur",Guntur,Andhra Pradesh
279,"Gunturu Chalamaiah Karpurapu Venkata Narayana Degree College, Guntur",Guntur,Andhra Pradesh
280,"Fatima College of Education, Nadikudi",Guntur,Andhra Pradesh
281,"Fr Heyer Degree College, Phirangipuram",Guntur,Andhra Pradesh
282,"Dr Zakir Hussain College of Education, Ponnur Mandal",Guntur,Andhra Pradesh
283,"Dr BR Ambedkar Centenary Degree College, Tenali",Guntur,Andhra Pradesh
284,"Dr Homi Jahangir Baba Degree College, Karlapalem",Guntur,Andhra Pradesh
285,"Dr Kotha Raghu Ramaiah Memorial Degree College, Duggirala",Guntur,Andhra Pradesh
286,"Dr Kolachala Venkata Krishnamurthi Sanskrit College, Guntur",Guntur,Andhra Pradesh
287,"Degree College for Women, Bapatla",Guntur,Andhra Pradesh
288,"Dhana Lakshmi College of Education, Muppala",Guntur,Andhra Pradesh
289,"Dr Kodela Siva Prasada Rao College of Education, Narasaraopet",Guntur,Andhra Pradesh
290,"Coramandal College of Education, Medikonduru",Guntur,Andhra Pradesh
291,"DRNSCVS College, Chilakaluripet",Guntur,Andhra Pradesh
292,"Chakradhar Degree College, Macherla",Guntur,Andhra Pradesh
293,"Chalapathi Degree College, Tadikonda",Guntur,Andhra Pradesh
294,"Chalapathi Institute of Pharmaceutical Sciences, Tadikonda",Guntur,Andhra Pradesh
295,"Career Degree College, Guntur",Guntur,Andhra Pradesh
296,"Bogavarapu Guravaiah Degree College, Sattenapalli",Guntur,Andhra Pradesh
297,"BR College of Education, Naidupet",Guntur,Andhra Pradesh
298,"CIL Rural Developments and Management, Guntur",Guntur,Andhra Pradesh
299,"Bapuji College of Education, Tenali",Guntur,Andhra Pradesh
300,"Bhagawan Sri Satya Sai Baba Degree College, Tadikonda",Guntur,Andhra Pradesh
301,"Bhashyam College of Education, Guntur",Guntur,Andhra Pradesh
302,"BHH Degree College for Women, Guntur",Guntur,Andhra Pradesh
303,"AM Reddy College, Narasaropet",Guntur,Andhra Pradesh
304,"Aman Showkath B Ed College, Narsaraopet",Guntur,Andhra Pradesh
305,"Abhyudaya Mahila Degree College, Guntur",Guntur,Andhra Pradesh
306,"ABR College, Kanigiri",Guntur,Andhra Pradesh
307,"Acharya NG Ranga College of Education, Chilumuru",Guntur,Andhra Pradesh
308,"Adarsa Degree College For Women, Guntur",Guntur,Andhra Pradesh
309,"Ali College, Vinukonda",Guntur,Andhra Pradesh
310,"AL College of Education, Guntur",Guntur,Andhra Pradesh
311,"AMG College of Education, Chilakaluripet",Guntur,Andhra Pradesh
312,"AMG Degree College for Women, Chilakaluripet",Guntur,Andhra Pradesh
313,"AP Residential Degree College, Nagarjuna Sagar",Guntur,Andhra Pradesh
314,"Alapati Subbarayudu Memorial & Arundati Degree College for Women, Ponnur",Guntur,Andhra Pradesh
315,"ASM & AWD College, Ponnur",Guntur,Andhra Pradesh
316,"Andhra Lutheran (AL) College of Education, Guntur",Guntur,Andhra Pradesh
317,"AC Evening College, Guntur",Guntur,Andhra Pradesh
318,"SKRBR Degree College, Narasaraopet",Guntur,Andhra Pradesh
319,"Narsaraopeta Institute of Technology (NIT), Narasaraopet",Guntur,Andhra Pradesh
320,"KKR & KSR Institute of Technology & Sciences, Guntur",Guntur,Andhra Pradesh
321,"Nalanda College Of Education (NCE), Guntur",Guntur,Andhra Pradesh
322,"Nalanda Institute of Pharmaceutical Sciences (NIPS), Guntur",Guntur,Andhra Pradesh
323,"AC College of Law, Guntur",Guntur,Andhra Pradesh
324,"Hindu College of Engineering and Techonology, Guntur",Guntur,Andhra Pradesh
325,"Chalapathi Institute of Engineering and Technology, Guntur",Guntur,Andhra Pradesh
326,"Sarada College of Pharmaceutical Sciences, Guntur",Guntur,Andhra Pradesh
327,"K chandrakala & Bellam Konda Venkateswarlu College Of Pharmacy, Tenali",Guntur,Andhra Pradesh
328,"Nannapaneni Venkat Rao College of Engineering and Technology, Tenali",Guntur,Andhra Pradesh
329,"Southern Institute of Medical Sciences (SIMS), Guntur",Guntur,Andhra Pradesh
330,"Swamy School Of Nursing, Guntur",Guntur,Andhra Pradesh
331,"Faculty Of Anthropology, Nagarjuna University, Guntur",Guntur,Andhra Pradesh
332,Koneru Lakshmaiah College of Engineering (KLCE),Guntur,Andhra Pradesh
333,Other,Guntur,Andhra Pradesh
334,"Sri Venkateswara College of Engineering & Technology, Chittoor",Chittoor,Andhra Pradesh
335,"PES Institute of Medical Sciences & Research PESIMSR, Kuppam",Chittoor,Andhra Pradesh
336,"Mother Theresa Degree College, Palamaner",Chittoor,Andhra Pradesh
337,"Sri Venkateswara College of Engineering and Technology, Chittoor",Chittoor,Andhra Pradesh
338,"Sreenivasa Institute of Technology and Management Studies, Chittoor",Chittoor,Andhra Pradesh
339,Sri Srinivasa Institute of Science and Technology,Chittoor,Andhra Pradesh
340,Madanapalle Institute of Technology & Science,Chittoor,Andhra Pradesh
341,"Sri Kalahasteeswara Institute Of Information And Management sciences, Srikalahasthi",Chittoor,Andhra Pradesh
342,"Indian Institute of Information Technology (IIIT), Chittoor",Chittoor,Andhra Pradesh
343,"Sri Venkatesa Perumal College of Engineering and Technology, Chittoor",Chittoor,Andhra Pradesh
344,"Gate Institute of Technology And Management Sciences, Tirupati",Chittoor,Andhra Pradesh
345,"Mahati College of Pharmacy, Madanaplle",Chittoor,Andhra Pradesh
346,"Kuppam Engineering College, Kuppam",Chittoor,Andhra Pradesh
347,"Seshachala Institute of Technology (SIT), Puttur",Chittoor,Andhra Pradesh
348,"Shree Seshachala Degree College, Puttur",Chittoor,Andhra Pradesh
349,"Sri Vedanarayana College of Education, Puttur",Chittoor,Andhra Pradesh
350,"Sri Rama College of Education, Tirupati",Chittoor,Andhra Pradesh
351,"K K C College of Education, Puttur",Chittoor,Andhra Pradesh
352,"S V College of Education, Chittoor",Chittoor,Andhra Pradesh
353,"Rukminidevi Arundale college of Education, Madanapalle",Chittoor,Andhra Pradesh
354,"Seshachala College of Pharmacy, Puttur",Chittoor,Andhra Pradesh
355,"SVA Government Degree College for Men, Chittor",Chittoor,Andhra Pradesh
